,분야,대학,계열,"전형
구분",,학과,#REF!,2027,2026,,,,,,26-25,2025학년,,,,,,2024,,,,,,3개년,2023학년도,,,,,"입결2
구분",2027,2026,25수능최저기준,24수능최저기준,2027,2026,2025,24전형방법,"대학별고사
일정(26기준)",2026,"2025 변경사항
KEY- 코멘트","일반/
지역",구분
번호,,,,,전형명,,,모집인원,모집인원,경쟁률,충원률,입결70%,"평균
50%",비고,차이,모집인원,경쟁률,추합,입결70%,"평균
50%",비고,"모집
인원",경쟁률,추합,입결70%,"평균
50%",비고,입결평균,"모집
인원",경쟁률,추합,"평균
50%컷",70% 컷,,수능최저,수능최저,,,전형방법,전형방법,전형방법,,,"변동, 특이사항",,,
,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,37,39,40
26,,서울대,인문,종합,일반전형,국어교육과,#REF!,9,9,8.89 ,,,,,,9,7.67 ,0 ,1.55 ,1.50 ,,9,12.33 ,1,1.51,1.44,,1.67 ,10,5.90 ,0,2.06 ,2.29 ,70%컷,미적용,미적용,,미적용,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,11.21(금),,전형변화 없음 24입결영향 클 듯,일반,#6
27,,서울대,인문,종합,일반전형,국어국문학과,#REF!,9,9,10.22 ,,,,,,9,12.56 ,1 ,1.86 ,1.77 ,,9,12.11 ,0,2.35,1.75,,1.94 ,9,11.11 ,0,2.29 ,2.66 ,70%컷,미적용,미적용,,미적용,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,11.21(금),,전형변화 없음 24입결영향 클 듯,일반,#6
28,,서울대,인문,종합,일반전형,노어노문학과,#REF!,9,9,6.00 ,,,,,,9,7.44 ,0 ,2.51 ,2.28 ,,9,8.22 ,1,2.56,1.96,,2.00 ,9,6.78 ,0,1.76 ,2.56 ,70%컷,미적용,미적용,,미적용,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,11.21(금),,전형변화 없음 24입결영향 클 듯,일반,#6
29,,서울대,인문,종합,일반전형,농경제사회학부,#REF!,15,15,11.53 ,,,,,,15,13.20 ,0 ,2.75 ,2.60 ,,15,11.53 ,0,2.98,2.57,,2.52 ,14,12.00 ,2,2.38 ,2.45 ,70%컷,미적용,미적용,,미적용,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,11.21(금),,전형변화 없음 24입결영향 클 듯,일반,#6
30,,서울대,인문,종합,일반전형,독어교육과,#REF!,10,10,6.50 ,,,,,,10,5.40 ,0 ,3.25 ,2.35 ,,10,6.80 ,0,2.43,2.41,,2.29 ,10,5.60 ,1,2.12 ,2.38 ,70%컷,미적용,미적용,,미적용,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,11.21(금),,전형변화 없음 24입결영향 클 듯,일반,#6
31,,서울대,인문,종합,일반전형,독어독문학과,#REF!,9,9,6.44 ,,,,,,9,6.22 ,0 ,2.56 ,2.16 ,,9,7.33 ,0,2.49,2.16,,2.16 ,9,5.56 ,0,2.15 ,2.39 ,70%컷,미적용,미적용,,미적용,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,11.21(금),,전형변화 없음 24입결영향 클 듯,일반,#6
32,,서울대,인문,종합,일반전형,미학과,#REF!,9,9,12.56 ,,,,,,9,13.56 ,0 ,2.25 ,1.51 ,,9,12.00 ,0,2.43,2.07,,1.89 ,9,9.56 ,0,2.09 ,2.35 ,70%컷,미적용,미적용,,미적용,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,11.21(금),,전형변화 없음 24입결영향 클 듯,일반,#6
33,,서울대,인문,종합,일반전형,불어교육과,#REF!,10,10,5.90 ,,,,,,9,5.89 ,0 ,2.51 ,2.34 ,,9,7.22 ,0,2.43,2.09,,2.26 ,10,6.20 ,0,2.35 ,2.89 ,70%컷,미적용,미적용,,미적용,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,11.21(금),,전형변화 없음 24입결영향 클 듯,일반,#6
34,,서울대,인문,종합,일반전형,불어불문학과,#REF!,9,9,6.11 ,,,,,,9,5.56 ,0 ,2.10 ,2.09 ,,9,8.11 ,0,1.85,1.55,,1.86 ,9,6.67 ,0,1.93 ,2.71 ,70%컷,미적용,미적용,,미적용,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,11.21(금),,전형변화 없음 24입결영향 클 듯,일반,#6
35,,서울대,인문,종합,일반전형,사회교육과,#REF!,6,6,13.17 ,,,,,,6,13.17 ,0 ,1.50 ,1.49 ,,6,12.00 ,0,2.46,1.93,,1.64 ,5,9.80 ,0,1.49 ,1.95 ,70%컷,미적용,미적용,,미적용,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,11.21(금),,전형변화 없음 24입결영향 클 듯,일반,#6
36,,서울대,인문,종합,일반전형,사회복지학과,#REF!,7,7,15.57 ,,,,,,6,15.67 ,0 ,2.31 ,1.73 ,,7,14.57 ,0,2.01,1.53,,1.74 ,7,12.57 ,0,1.97 ,2.23 ,70%컷,미적용,미적용,,미적용,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,11.21(금),,전형변화 없음 24입결영향 클 듯,일반,#6
37,,서울대,인문,종합,일반전형,사회학과,#REF!,10,10,16.50 ,,,,,,10,18.50 ,0 ,2.05 ,1.90 ,,10,17.30 ,0,2.17,1.75,,1.87 ,10,14.30 ,0,1.95 ,2.27 ,70%컷,미적용,미적용,,미적용,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,11.21(금),,전형변화 없음 24입결영향 클 듯,일반,#6
38,,서울대,인문,종합,일반전형,서어서문학과,#REF!,9,9,6.89 ,,,,,,9,7.22 ,0 ,2.87 ,2.56 ,,9,8.56 ,0,2.46,2.24,,2.34 ,9,6.56 ,0,2.22 ,2.59 ,70%컷,미적용,미적용,,미적용,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,11.21(금),,전형변화 없음 24입결영향 클 듯,일반,#6
39,,서울대,인문,종합,일반전형,소비자학전공,#REF!,8,8,11.25 ,,,,,,8,14.25 ,3 ,1.51 ,1.47 ,,7,17.14 ,1,1.77,1.76,,1.92 ,7,15.86 ,0,2.52 ,2.58 ,70%컷,미적용,미적용,,미적용,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,11.21(금),,전형변화 없음 24입결영향 클 듯,일반,#6
40,,서울대,인문,종합,일반전형,심리학과,#REF!,8,8,11.25 ,,,,,,8,14.00 ,0 ,2.07 ,1.90 ,,8,12.50 ,0,2.28,2.09,,2.07 ,8,10.25 ,0,2.21 ,2.36 ,70%컷,미적용,미적용,,미적용,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,11.21(금),,전형변화 없음 24입결영향 클 듯,일반,#6
41,,서울대,인문,종합,일반전형,아동가족학전공,#REF!,10,10,10.40 ,,,,,,10,12.20 ,0 ,2.20 ,1.92 ,,10,14.30 ,0,1.91,1.72,,1.97 ,10,9.30 ,0,2.26 ,2.71 ,70%컷,미적용,미적용,,미적용,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,11.21(금),,전형변화 없음 24입결영향 클 듯,일반,#6
42,,서울대,인문,종합,일반전형,아시아언어문명학부,#REF!,9,9,9.89 ,,,,,,9,9.89 ,1 ,1.95 ,1.71 ,,9,11.11 ,0,1.96,1.82,,1.86 ,9,8.89 ,0,2.06 ,2.12 ,70%컷,미적용,미적용,,미적용,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,11.21(금),,전형변화 없음 24입결영향 클 듯,일반,#6
43,,서울대,인문,종합,일반전형,언론정보학과,#REF!,8,12,9.58 ,,,,,,13,9.15 ,0 ,1.90 ,1.41 ,,13,9.54 ,0,1.87,1.62,,1.59 ,14,7.71 ,0,1.73 ,1.86 ,70%컷,미적용,미적용,,미적용,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,11.21(금),,전형변화 없음 24입결영향 클 듯,일반,#6
44,,서울대,인문,종합,일반전형,언어학과,#REF!,9,9,9.00 ,,,,,,9,9.22 ,0 ,2.02 ,1.92 ,,9,10.00 ,0,2.03,1.85,,1.90 ,9,7.56 ,0,1.92 ,2.26 ,70%컷,미적용,미적용,,미적용,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,11.21(금),,전형변화 없음 24입결영향 클 듯,일반,#6
45,,서울대,인문,종합,일반전형,역사교육과,#REF!,6,6,8.17 ,,,,,,6,10.67 ,0 ,1.53 ,1.51 ,,6,9.83 ,0,2.7,1.62,,1.58 ,6,7.50 ,0,1.62 ,3.00 ,70%컷,미적용,미적용,,미적용,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,11.21(금),,전형변화 없음 24입결영향 클 듯,일반,#6
46,,서울대,인문,종합,일반전형,역사학부,#REF!,9,9,12.22 ,,,,,,9,14.44 ,0 ,2.36 ,2.22 ,,9,14.67 ,0,2.99,2.68,,2.43 ,9,12.89 ,0,2.38 ,2.73 ,70%컷,미적용,미적용,,미적용,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,11.21(금),,전형변화 없음 24입결영향 클 듯,일반,#6
47,,서울대,인문,종합,일반전형,영어교육과,#REF!,12,12,7.25 ,,,,,,12,6.83 ,0 ,1.81 ,1.66 ,,12,8.67 ,0,1.83,1.78,,1.84 ,10,6.90 ,0,2.09 ,2.30 ,70%컷,미적용,미적용,,미적용,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,(2배수) 서류50+면접50,11.21(금),,전형변화 없음 24입결영향 클 듯,일반,#6
